show_id,times_watched,mood-good,mood-fun,mood-wow,mood-sad,mood-so-so,mood-bad,name,followers,runtime,network,mean_rate,poster_image
80222,3498.3333333333335,65.66666666666667,1.6666666666666667,65.0,0.16666666666666666,4.5,0.6666666666666666,Jekyll,6005,60,BBC One,4.54,https://dg31sz3gwrwan.cloudfront.net/poster/80222/27282-0-optimized.jpg
80248,692.2857142857143,12.142857142857142,3.2142857142857144,1.5714285714285714,0.07142857142857142,0.2857142857142857,0.0,Young Dracula,1060,30,BBC One,4.18,https://dg31sz3gwrwan.cloudfront.net/poster/80248/957718-0-optimized.jpg
80252,7817.75,44.333333333333336,96.41666666666667,13.833333333333334,0.3333333333333333,4.25,0.8333333333333334,Flight of the Conchords,12272,30,HBO,3.86,https://dg31sz3gwrwan.cloudfront.net/poster/80252/972637-0-optimized.jpg
80280,2006.875,30.5,0.125,16.0,4.625,0.25,0.125,Roots,3768,65,ABC (US),4.740000000000001,https://dg31sz3gwrwan.cloudfront.net/poster/80280/1142980-0-optimized.jpg
80284,744.7,12.4,0.0,1.3,0.0,0.1,0.0,James Clavell's Shogun,1009,60,NBC,3.25,https://dg31sz3gwrwan.cloudfront.net/poster/80284/28955-0-optimized.jpg
80305,432.5,15.75,1.0,18.0,0.75,0.0,0.0,Lonesome Dove,1171,65,CBS,4.82,https://dg31sz3gwrwan.cloudfront.net/poster/80305/947899-0-optimized.jpg
80328,1524.75,33.5,1.0,6.25,1.5,0.75,0.0,Tales of Symphonia,3135,45,NBC,4.56,https://dg31sz3gwrwan.cloudfront.net/poster/80328/1106568-0-optimized.jpg
80344,37528.333333333336,291.55555555555554,8.555555555555555,66.22222222222223,0.7777777777777778,9.333333333333334,1.6666666666666667,Terminator: The Sarah Connor Chronicles,58195,45,FOX,4.73,https://dg31sz3gwrwan.cloudfront.net/poster/80344/27310-0-optimized.jpg
80351,56506.77777777778,744.4444444444445,97.33333333333333,159.33333333333334,2.6666666666666665,11.777777777777779,2.5555555555555554,Pushing Daisies,83930,45,ABC (US),4.11,https://dg31sz3gwrwan.cloudfront.net/poster/80351/28622-0-optimized.jpg
80352,21194.272727272728,189.9090909090909,4.636363636363637,28.727272727272727,0.5454545454545454,6.363636363636363,0.9090909090909091,Life (2007),29989,45,NBC,3.7599999999999985,https://dg31sz3gwrwan.cloudfront.net/poster/80352/60071-0-optimized.jpg
80361,120.54545454545455,1.5454545454545454,0.0,0.0,0.0,0.09090909090909091,0.0,The Fugitive (2000),204,45,CBS,2.0600000000000005,https://dg31sz3gwrwan.cloudfront.net/poster/80361/1194901-0-optimized.jpg
80370,8811.25,110.25,0.75,8.625,1.125,8.125,0.75,Bionic Woman,14978,45,NBC,2.91,https://dg31sz3gwrwan.cloudfront.net/poster/80370/43268-0-optimized.jpg
80379,1545512.4705882352,3398.9411764705883,7313.058823529412,841.5882352941177,14.411764705882353,93.17647058823529,38.705882352941174,The Big Bang Theory,2456170,25,CBS,4.009999999999999,https://dg31sz3gwrwan.cloudfront.net/poster/80379/1304753-0-optimized.jpg
80383,827.5,25.333333333333332,1.1666666666666667,15.0,0.0,2.0,0.5,State of Play,1622,60,BBC One,4.18,https://dg31sz3gwrwan.cloudfront.net/poster/80383/884525-0-optimized.jpg
80385,160.3846153846154,3.8461538461538463,0.0,1.0769230769230769,0.0,0.0,0.0,Cane,275,45,CBS,4.579999999999999,https://dg31sz3gwrwan.cloudfront.net/poster/80385/37040-0-optimized.jpg
80392,11049.857142857143,100.42857142857143,5.428571428571429,22.571428571428573,1.7142857142857142,2.857142857142857,0.8571428571428571,Lipstick Jungle,16500,45,NBC,4.07,https://dg31sz3gwrwan.cloudfront.net/poster/80392/29010-0-optimized.jpg
